Date,Open,High,Low,Close,Volume,Trend
300616,697.65,703.77,694.90,703.53,2112513
290616,694.26,699.50,692.68,695.19,2156218
280616,691.37,692.74,684.85,691.26,1912280
270616,682.49,683.32,672.66,681.14,2919486
240616,690.17,705.00,684.91,685.20,4771780
230616,710.55,714.88,700.25,714.87,2125028
220616,714.05,714.21,705.88,710.47,1452884
210616,710.05,715.38,704.66,708.88,1515918
200616,710.31,715.87,705.41,706.13,2282725
170616,721.39,721.39,701.12,704.25,4113085
160616,727.96,730.39,715.54,724.25,2250083
150616,734.92,737.15,731.31,732.19,1161701
140616,729.31,736.00,726.50,733.25,1329176
130616,729.82,739.00,729.82,731.88,1167736
100616,735.95,739.64,730.51,733.19,1452456
90616,737.07,743.93,736.50,742.52,958963
80616,739.50,743.81,735.76,742.93,1615727
70616,733.27,736.71,730.80,731.09,1215741
60616,738.50,738.50,728.29,730.06,1499648
30616,741.49,741.49,733.91,735.86,1230376
20616,746.10,747.30,737.00,744.27,1695824
10616,748.47,751.37,744.34,748.46,1039847
310516,748.76,753.48,745.57,748.85,2124248
270516,737.51,747.91,737.01,747.60,1738913
260516,736.00,741.10,733.00,736.93,1298295
250516,735.00,739.89,732.60,738.10,1610773
240516,719.85,734.20,719.64,733.03,1890195
230516,719.98,723.50,716.94,717.25,1233407
200516,716.46,727.70,715.01,721.71,1722506
190516,718.30,720.50,710.30,715.31,1495741
180516,718.50,725.57,715.02,721.78,1620691
170516,731.06,735.85,718.00,720.19,1667998
160516,724.32,732.68,720.00,730.30,1124220
130516,726.62,731.29,723.51,724.83,1241301
120516,732.00,735.37,724.27,728.07,1352779
110516,740.52,740.80,727.90,730.55,1484998
100516,734.96,740.00,731.61,739.38,1627899
90516,726.70,734.29,723.50,729.13,1898866
60516,712.20,725.99,711.95,725.18,1982458
50516,715.00,717.55,709.45,714.71,1479828
40516,706.77,715.05,704.05,711.37,1610174
30516,712.50,713.37,707.33,708.44,1922797
20516,711.92,715.41,706.36,714.41,1672285
290416,704.12,712.11,703.78,707.88,2906358
280416,723.29,729.26,703.20,705.06,3114203
270416,725.32,727.15,709.08,721.46,3289534
260416,744.42,745.59,720.32,725.37,2754324
250416,735.35,744.88,735.10,742.21,2469163
220416,743.91,753.92,730.37,737.77,6978506
210416,777.31,781.68,771.55,780.00,3326803
200416,779.16,779.66,771.27,774.92,1706231
190416,790.50,790.95,770.27,776.25,2191366
180416,780.19,788.55,777.61,787.68,1669701
150416,775.50,780.93,774.93,780.00,1555865
140416,775.36,779.61,773.22,775.39,1348011
130416,770.31,775.75,764.59,771.91,1768980
120416,758.43,764.92,751.56,764.32,1366559
110416,765.45,767.22,757.34,757.54,1584036
80416,765.87,767.13,755.77,759.47,1171738
70416,765.32,769.36,757.50,760.12,1254028
60416,757.84,768.42,756.30,768.07,1257118
50416,758.13,762.87,755.60,758.57,1222147
40416,769.51,772.44,761.78,765.12,1343934
10416,757.16,770.04,755.20,769.67,1581222
310316,768.34,769.08,758.25,762.90,1623821
300316,768.21,777.31,767.58,768.34,2017229
290316,753.68,767.18,748.29,765.89,1987121
280316,756.17,758.30,752.04,753.28,1082515
240316,751.20,757.56,750.50,754.84,1528469
230316,763.35,765.39,756.03,757.56,1224825
220316,758.44,765.00,757.88,760.05,1103115
210316,753.91,763.34,751.27,762.16,1435734
180316,761.63,762.14,751.82,755.41,2811069
170316,757.65,765.34,757.36,758.48,2227322
160316,749.05,759.00,746.50,757.36,1447671
150316,746.02,753.01,742.84,750.57,1491578
140316,744.97,754.26,743.66,750.24,1639483
110316,739.95,744.90,736.70,744.87,1727331
100316,727.79,736.54,723.29,732.17,2228566
90316,715.16,726.24,712.66,725.41,1954640
80316,708.39,722.25,704.00,713.53,2537925
70316,725.15,727.21,705.14,712.80,3084522
40316,734.80,735.00,725.62,730.22,2421300
30316,739.48,741.00,729.63,731.59,2025353
20316,742.87,743.12,733.25,739.48,1781343
10316,721.30,742.33,718.64,742.17,3001329
290216,721.00,730.60,716.84,717.22,2237474
260216,733.60,736.16,721.94,724.86,2120631
250216,722.93,729.51,713.23,729.12,1798643
240216,710.61,721.22,702.02,720.90,1833671
230216,726.10,730.90,715.67,717.29,2053583
220216,729.51,734.84,723.45,729.05,1850912
190216,715.90,724.03,713.12,722.11,1721784
180216,733.96,736.00,715.55,717.51,2330509
170216,727.00,733.76,716.61,731.97,2437275
160216,718.65,722.88,710.18,717.64,2151167
120216,712.21,716.00,701.58,706.89,2317193
110216,696.34,712.32,691.19,706.36,3227256
100216,711.79,723.22,705.39,706.85,3011661
90216,692.95,720.96,688.50,701.02,4197924
80216,687.68,704.52,682.01,704.16,4438257
50216,725.50,726.72,700.14,703.76,5444953
40216,744.59,745.24,722.60,730.03,5214827
30216,786.28,791.43,736.26,749.38,6543977
20216,800.50,810.35,780.60,780.91,6776535
10216,771.26,777.59,761.38,770.77,5102641
290116,748.96,765.10,744.20,761.35,3759222
280116,738.19,751.16,730.60,748.30,3093589
270116,735.89,735.89,713.45,717.58,2082928
260116,735.21,739.46,726.97,733.79,1543054
250116,743.84,752.46,732.50,733.62,2259778
220116,742.00,748.56,740.50,745.46,2350965
210116,720.17,737.67,711.11,726.67,2594281
200116,705.90,726.95,687.78,718.56,4114182
190116,720.15,725.35,709.85,719.08,2408193
150116,709.99,724.16,701.51,710.49,3777815
140116,724.44,739.89,705.00,731.39,2755725
130116,749.34,753.00,716.78,719.57,2554586
120116,740.75,748.34,736.43,745.34,2340753
110116,731.95,735.08,719.56,733.07,2544806
80116,747.80,750.12,728.92,730.91,2375348
70116,746.49,755.31,735.28,741.00,3156563
60116,750.37,765.73,748.00,759.33,2410301
50116,764.10,769.20,755.65,761.53,2260795
40116,762.20,762.20,747.54,759.44,3352912
311215,787.82,788.33,777.32,778.01,1637561
301215,793.96,796.46,787.20,790.30,1428280
291215,786.99,798.69,786.20,793.96,1921480
281215,770.00,782.82,767.73,782.24,1557755
241215,768.52,769.20,764.39,765.84,521141
231215,770.69,771.90,757.65,768.51,1529742
221215,764.27,770.34,761.20,767.13,1816935
211215,763.05,766.35,754.15,760.80,1742368
181215,767.23,774.14,756.59,756.85,3389702
171215,781.16,781.59,769.30,769.83,1825538
161215,766.57,781.50,757.04,776.59,2656010
151215,767.79,774.75,758.00,760.09,2469319
141215,751.26,764.15,736.26,762.54,2693160
111215,749.00,757.44,748.65,750.42,2159164
101215,763.59,766.07,755.00,760.04,1622940
91215,771.10,776.09,752.01,762.55,2327471
81215,764.50,778.65,762.52,775.14,1554121
71215,780.06,781.00,766.72,772.99,1831287
41215,769.71,782.42,765.51,779.21,2489998
31215,780.56,784.48,762.45,768.20,2097494
21215,785.25,793.05,776.43,777.85,2333578
11215,766.94,785.00,765.95,783.79,2014110
301115,771.87,775.03,761.12,762.85,1597322
271115,769.16,774.00,767.00,771.97,722319
251115,771.69,773.00,766.53,769.26,1180643
241115,772.96,775.99,758.11,769.63,2361490
231115,777.47,782.90,773.51,776.70,1730626
201115,769.30,779.32,764.10,777.00,2766452
191115,759.78,763.23,757.23,759.94,1401779
181115,749.57,761.10,747.39,760.01,1798877
171115,752.47,754.95,744.05,745.98,1925901
161115,740.21,751.71,734.33,750.42,2519424
131115,754.04,755.33,739.47,740.07,2374561
121115,760.18,765.80,755.86,756.53,1604146
111115,762.38,769.08,759.75,765.25,2093287
101115,753.48,760.60,748.41,758.26,1477669
91115,758.52,763.30,749.11,754.77,1775525
61115,759.39,763.02,755.03,761.60,1673013
51115,758.81,766.35,757.47,760.67,2271675
41115,749.90,759.90,749.20,755.31,2083374
31115,745.43,751.70,741.16,748.82,1807488
21115,734.53,748.18,731.45,747.74,1980977
301015,745.56,746.31,736.53,737.39,1991811
291015,736.63,746.79,735.16,744.85,1822826
